studentID,Course,section,numberstudents,score1,errorcode1,score2 ,errorcode2
1,Calc1,1,30,4,,4,
2,Calc1,1,30,1,de;nu;ae,4,
3,Calc1,2,20,3,,0,nu;nm;np
4,Calc1,2,20,0,ae;ie;pc,1,me;se
5,Calc2,1,20,3,,2,ie;pc
6,Calc2,1,20,4,,2,ae;d
7,Calc2,2,30,1,ae;l;ep;g,4,
8,Calc2,2,30,4,,2,g;ep;l
9,Calc3,1,25,1,ae;me;se,3,
10,Calc3,1,25,4,,1,ade;de
11,Calc3,2,25,2,,1,ldm;g;tpe;tpm
12,Calc3,2,25,2,pc;ldm,4,
13,NumAnalysis,1,15,3,,4,
14,NumAnalysis,1,15,3,,0,us
15,NumAnalysis,2,20,1,us,1,us
16,NumAnalysis,2,20,3,,2,us
17,HistoryMath,1,15,3,nw,4,
18,HistoryMath,1,15,4,,2,nw;ic
19,HistoryMath,2,20,3,,3,
20,HistoryMath,2,20,1,po;nw,3,po
21,RealAnalysis,1,20,4,,2,po;ic
22,RealAnalysis,1,20,4,,4,
23,RealAnalysis,2,25,2,nw,3,
24,RealAnalysis,2,25,4,,2,ic
25,ProbTheory,1,20,4,ic,4,
26,ProbTheory,1,20,1,po;nw,0,ic;nw
27,ProbTheory,2,25,3,,3,
28,ProbTheory,2,25,4,,4,
